,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Srednekolymsk,RU,67.45,153.6833,56.52,44,99,21.59,overcast clouds
1,Hearst,CA,49.6835,-83.6665,73.65,62,82,12.97,broken clouds
2,Necochea,AR,-38.5473,-58.7368,46.65,59,9,10.83,clear sky
3,Hirara,JP,24.8,125.2833,84.47,79,20,10.36,few clouds
4,Albany,US,42.6001,-73.9662,77.65,61,99,5.39,overcast clouds
5,Lebu,CL,-37.6167,-73.65,55.51,87,93,1.32,overcast clouds
6,Fort Nelson,CA,58.8053,-122.7002,49.59,27,90,8.05,overcast clouds
7,Vaini,TO,-21.2,-175.2,71.76,88,90,9.22,light rain
8,Khatanga,RU,71.9667,102.5,31.48,98,100,5.35,overcast clouds
9,Norman Wells,CA,65.282,-126.8329,60.84,21,20,11.5,few clouds
10,Bredasdorp,ZA,-34.5322,20.0403,52.92,76,75,5.82,broken clouds
11,Arraial Do Cabo,BR,-22.9661,-42.0278,69.64,60,70,6.51,broken clouds
12,Port Elizabeth,ZA,-33.918,25.5701,61.09,88,0,9.22,clear sky
13,Bacolod,PH,10.6667,122.95,83.39,77,76,0.81,light rain
14,Kondoa,TZ,-4.9,35.7833,54.27,95,77,4.07,broken clouds
15,Ambon,ID,-3.6954,128.1814,77.14,94,40,13.4,scattered clouds
16,Talnakh,RU,69.4865,88.3972,23.27,94,54,12.26,broken clouds
17,Fougamou,GA,-1.2154,10.5838,75.36,97,100,2.04,overcast clouds
18,Labuhan,ID,-6.8844,112.2051,79.77,81,20,8.1,few clouds
19,Hamilton,US,39.1834,-84.5333,85.84,44,1,4.16,clear sky
20,Ilulissat,GL,69.2167,-51.1,33.82,64,30,4.61,scattered clouds
21,Hobart,AU,-42.8794,147.3294,53.26,77,75,4.0,moderate rain
22,San Jose,US,37.3394,-121.895,78.67,47,20,4.0,few clouds
23,Tiksi,RU,71.6872,128.8694,35.15,89,23,1.86,few clouds
24,Cape Town,ZA,-33.9258,18.4232,58.12,82,0,1.01,clear sky
25,Rikitea,PF,-23.1203,-134.9692,77.27,78,68,15.05,broken clouds
26,Hilo,US,19.7297,-155.09,82.13,71,1,14.97,clear sky
27,Lata,PT,40.1629,-8.3327,60.71,81,100,0.87,overcast clouds
28,Amapa,BR,1.0,-52.0,73.18,98,100,2.44,overcast clouds
29,Hambantota,LK,6.1241,81.1185,80.85,76,96,22.48,overcast clouds
30,Muros,ES,42.7762,-9.0603,54.84,74,99,12.64,overcast clouds
31,Seoul,KR,37.5683,126.9778,60.37,72,0,5.39,clear sky
32,Takab,IR,36.4009,47.1133,49.12,84,12,1.16,few clouds
33,Kapaa,US,22.0752,-159.319,83.12,68,1,1.99,clear sky
34,Alofi,NU,-19.0595,-169.9187,75.09,80,90,16.11,light rain
35,Pathein,MM,16.7833,94.7333,78.75,90,100,2.55,light rain
36,Kodiak,US,57.79,-152.4072,55.38,56,0,4.94,clear sky
37,Tank,PK,32.2217,70.3793,87.24,26,0,2.13,clear sky
38,Kavaratti,IN,10.5669,72.642,83.14,76,100,16.44,overcast clouds
39,Ushuaia,AR,-54.8,-68.3,29.86,86,75,23.02,light snow
40,Bluff,NZ,-46.6,168.3333,49.8,52,75,5.23,broken clouds
41,Barrow,US,71.2906,-156.7887,26.62,80,90,5.75,overcast clouds
42,Atuona,PF,-9.8,-139.0333,80.1,62,21,13.78,few clouds
43,Salalah,OM,17.0151,54.0924,82.49,78,20,3.44,few clouds
44,Male,MV,4.1748,73.5089,84.15,79,75,27.63,broken clouds
45,Bambous Virieux,MU,-20.3428,57.7575,71.85,88,75,9.28,broken clouds
46,Port Alfred,ZA,-33.5906,26.891,63.16,89,69,10.16,broken clouds
47,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,86,90,6.91,overcast clouds
48,Arcachon,FR,44.5875,-1.0519,50.32,87,0,0.0,clear sky
49,Kopavogur,IS,64.1123,-21.913,47.3,71,20,13.8,few clouds
50,Kimbe,PG,-5.5502,150.1429,79.66,86,100,5.06,light rain
51,Busselton,AU,-33.65,115.3333,43.05,75,100,9.93,overcast clouds
52,Castro,BR,-24.7911,-50.0119,49.26,59,37,1.25,scattered clouds
53,San Vicente,AR,-26.6167,-54.1333,48.74,68,39,2.59,scattered clouds
54,Saskylakh,RU,71.9167,114.0833,50.77,61,97,7.23,overcast clouds
55,Urumqi,CN,43.801,87.6005,68.95,24,0,3.87,clear sky
56,Flin Flon,CA,54.7682,-101.865,33.64,64,90,16.31,overcast clouds
57,Esperance,AU,-33.8667,121.9,51.64,80,32,9.33,scattered clouds
58,Nandikotkur,IN,15.8667,78.2667,82.89,65,100,18.23,overcast clouds
59,Yellowknife,CA,62.456,-114.3525,47.32,39,20,1.99,few clouds
60,Chake Chake,TZ,-5.2459,39.7666,76.93,73,89,12.57,overcast clouds
61,Saint-Pierre,RE,-21.3393,55.4781,73.04,75,75,5.75,broken clouds
62,Guerrero Negro,MX,27.9769,-114.0611,69.12,58,64,14.36,broken clouds
63,Punta Arenas,CL,-53.15,-70.9167,35.71,87,20,12.35,few clouds
64,Piacabucu,BR,-10.4056,-36.4344,76.44,83,22,7.65,few clouds
65,Hobyo,SO,5.3505,48.5268,77.92,82,44,22.48,scattered clouds
66,Mount Gambier,AU,-37.8333,140.7667,51.71,71,90,9.22,overcast clouds
67,Villazon,BO,-22.0866,-65.5942,50.02,15,74,5.28,broken clouds
68,Ugoofaaru,MV,5.6667,73.0,82.9,77,100,25.48,overcast clouds
69,Puerto Ayora,EC,-0.7393,-90.3518,75.54,90,32,4.0,scattered clouds
70,Chokurdakh,RU,70.6333,147.9167,37.24,75,67,9.1,broken clouds
71,Lorengau,PG,-2.0226,147.2712,78.84,89,100,7.18,moderate rain
72,Goderich,CA,43.7501,-81.7165,82.04,47,71,12.66,broken clouds
73,New Norfolk,AU,-42.7826,147.0587,52.92,74,74,7.83,light rain
74,Port Moresby,PG,-9.4431,147.1797,81.82,61,40,11.5,scattered clouds
75,Codrington,AU,-38.2667,141.9667,53.91,60,96,20.56,overcast clouds
76,Fomboni,KM,-12.28,43.7425,78.58,68,19,13.96,few clouds
77,Malanville,BJ,11.8685,3.3899,89.69,34,34,8.99,scattered clouds
78,Hermanus,ZA,-34.4187,19.2345,57.9,73,44,7.11,scattered clouds
79,Damghan,IR,36.1683,54.348,74.84,33,99,10.85,overcast clouds
80,Husavik,IS,66.0449,-17.3389,44.51,77,15,11.97,few clouds
81,Hervey Bay,AU,-25.2986,152.8535,74.03,84,8,4.0,clear sky
82,Senanga,ZM,-16.1167,23.2667,54.81,61,0,5.06,clear sky
83,Nuevo Progreso,MX,23.1667,-97.95,91.6,68,8,4.0,clear sky
84,Cherskiy,RU,68.75,161.3,60.85,32,91,13.62,overcast clouds
85,Dingle,PH,10.9995,122.6711,82.13,79,100,3.49,moderate rain
86,Blagoyevo,RU,63.3667,47.9167,36.36,97,100,9.24,overcast clouds
87,Carnarvon,AU,-24.8667,113.6333,50.07,71,94,9.22,overcast clouds
88,Mandalgovi,MN,45.7625,106.2708,45.9,52,48,14.47,scattered clouds
89,Kamloops,CA,50.6665,-120.3192,74.39,43,75,1.99,broken clouds
90,Kruisfontein,ZA,-34.0033,24.7314,54.88,94,81,5.66,broken clouds
91,Hithadhoo,MV,-0.6,73.0833,84.25,66,100,20.13,overcast clouds
92,Namibe,AO,-15.1961,12.1522,74.5,66,0,2.13,clear sky
93,Jamestown,US,42.097,-79.2353,83.52,57,1,5.75,clear sky
94,Airai,TL,-8.9266,125.4092,66.15,69,22,4.74,few clouds
95,Ribeira Grande,PT,38.5167,-28.7,64.4,93,100,17.45,overcast clouds
96,Nouadhibou,MR,20.931,-17.0347,66.18,77,9,16.11,clear sky
97,Kisaran,ID,2.9845,99.6158,74.82,97,99,1.66,overcast clouds
98,Cuyo,PH,10.8525,121.0086,84.49,70,99,3.6,overcast clouds
99,Delta,NG,5.5,6.0,75.54,97,94,3.91,overcast clouds
100,San Cristobal,VE,7.7669,-72.225,65.05,99,100,3.76,overcast clouds
101,Avarua,CK,-21.2078,-159.775,82.45,83,20,8.05,few clouds
102,Yaan,NG,7.3833,8.5667,79.27,77,90,9.93,overcast clouds
103,Mataura,NZ,-46.1927,168.8643,49.48,47,93,2.91,overcast clouds
104,Meulaboh,ID,4.1363,96.1285,78.12,85,92,4.92,overcast clouds
105,Deputatskiy,RU,69.3,139.9,47.68,44,1,17.11,clear sky
106,Nikolskoye,RU,59.7035,30.7861,48.4,86,99,6.51,light rain
107,Dikson,RU,73.5069,80.5464,21.0,93,76,6.91,broken clouds
108,Roald,NO,62.5833,6.1333,52.16,81,0,19.57,clear sky
109,Pevek,RU,69.7008,170.3133,32.83,85,99,2.55,overcast clouds
110,Tiarei,PF,-17.5333,-149.3333,84.22,72,72,5.66,broken clouds
111,Coffs Harbour,AU,-30.3,153.1333,64.36,81,9,3.44,clear sky
112,Thinadhoo,MV,0.5333,72.9333,84.29,65,100,21.5,overcast clouds
113,Buin,CL,-33.7333,-70.75,70.09,38,71,5.46,broken clouds
114,Bengkulu,ID,-3.8004,102.2655,77.76,84,78,2.84,broken clouds
115,Touros,BR,-5.1989,-35.4608,77.9,84,55,11.25,broken clouds
116,Georgetown,MY,5.4112,100.3354,82.89,82,40,4.61,scattered clouds
117,Qaanaaq,GL,77.484,-69.3632,32.02,76,10,5.44,clear sky
118,Upernavik,GL,72.7868,-56.1549,35.11,81,82,8.63,broken clouds
119,Hastings,GB,50.8552,0.5729,49.8,91,97,3.42,overcast clouds
120,Patharia,IN,23.9,79.2,83.55,18,100,7.9,overcast clouds
121,Butaritari,KI,3.0707,172.7902,81.99,79,100,18.34,overcast clouds
122,Mandera,KE,3.9366,41.867,75.9,57,8,9.71,clear sky
123,Villa Guerrero,MX,18.8667,-99.65,86.38,49,100,2.59,overcast clouds
124,Ponta Do Sol,PT,32.6667,-17.1,65.03,67,69,6.78,broken clouds
125,Hailar,CN,49.2,119.7,46.58,61,70,6.55,broken clouds
126,Ucluelet,CA,48.9329,-125.5528,70.05,79,81,3.0,broken clouds
127,Saint-Louis,SN,16.3333,-15.0,91.04,25,90,14.61,overcast clouds
128,Hadejia,NG,12.4498,10.0444,86.94,10,29,7.27,scattered clouds
129,Honningsvag,NO,70.9821,25.9704,36.95,67,43,1.41,scattered clouds
130,Trat,TH,12.5,102.5,80.78,94,100,1.74,light rain
131,Erenhot,CN,43.6475,111.9767,54.41,38,97,12.03,light rain
132,Jiayuguan,CN,39.8167,98.3,61.92,17,50,2.75,scattered clouds
133,Nome,US,64.5011,-165.4064,69.87,23,1,12.66,clear sky
134,Moose Factory,CA,51.2585,-80.6094,82.4,39,1,19.57,clear sky
135,Murshidabad,IN,24.1833,88.2667,79.83,82,100,20.42,overcast clouds
136,Bethel,US,41.3712,-73.414,72.64,66,1,9.22,clear sky
137,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,63.93,92,100,4.83,overcast clouds
138,Coihaique,CL,-45.5752,-72.0662,33.75,93,90,3.44,light rain
139,Mar Del Plata,AR,-38.0023,-57.5575,50.13,61,0,8.01,clear sky
140,Tasiilaq,GL,65.6145,-37.6368,37.56,87,100,45.41,light rain
141,Ust-Maya,RU,60.4167,134.5333,55.65,34,90,2.86,overcast clouds
142,Puerto Varas,CL,-41.3195,-72.9854,52.02,100,90,10.07,overcast clouds
143,Saint-Philippe,RE,-21.3585,55.7679,72.95,86,50,8.37,light rain
144,Tuatapere,NZ,-46.1333,167.6833,49.82,53,77,3.42,broken clouds
145,Bandarban,BD,22.1965,92.2262,80.53,68,100,5.82,overcast clouds
146,Klaksvik,FO,62.2266,-6.589,49.12,91,96,16.2,overcast clouds
147,Atar,MR,20.5169,-13.0499,85.93,19,46,10.83,scattered clouds
148,Nago,JP,26.5881,127.9761,82.47,85,96,4.68,overcast clouds
149,Vysokopillya,UA,47.4919,33.5306,61.18,83,33,1.88,scattered clouds
150,Anadyr,RU,64.75,177.4833,45.1,65,40,24.0,light rain
151,Cabra,ES,37.4725,-4.4421,67.19,56,2,7.18,clear sky
152,Victoria Point,AU,-27.5833,153.3,71.1,82,1,1.99,clear sky
153,Koungou,YT,-12.7336,45.2042,76.71,78,0,10.58,clear sky
154,Kailua,US,21.4022,-157.7394,85.41,65,17,7.27,few clouds
155,Constitucion,CL,-35.3333,-72.4167,55.36,81,83,8.16,broken clouds
156,Maldonado,UY,-34.6667,-54.9167,56.59,69,0,4.61,clear sky
157,Saldanha,ZA,-33.0117,17.9442,46.45,82,8,2.08,clear sky
158,Cockburn Town,TC,21.4612,-71.1419,79.0,79,3,19.28,clear sky
159,Makinsk,KZ,52.6292,70.4169,65.19,38,45,5.53,scattered clouds
160,Nampula,MZ,-15.1165,39.2666,64.35,94,40,11.5,scattered clouds
161,Kyren,RU,51.6828,102.1408,49.03,74,93,1.59,overcast clouds
162,Lloydminster,CA,53.2835,-110.0016,51.48,40,75,9.22,broken clouds
163,Celestun,MX,20.8667,-90.4,84.81,69,53,16.2,broken clouds
164,Broken Hill,AU,-31.95,141.4333,51.51,71,0,11.5,clear sky
165,Kutum,SD,14.2,24.6667,77.41,25,86,2.64,overcast clouds
166,Imeni Zhelyabova,RU,58.9544,36.5956,37.92,90,80,4.54,broken clouds
167,Gladstone,AU,-23.85,151.25,73.78,60,1,5.75,clear sky
168,Cabo San Lucas,MX,22.8909,-109.9124,95.5,30,20,10.36,few clouds
169,Kostino,RU,58.9097,53.2691,45.37,92,85,5.57,overcast clouds
170,Kijang,KR,35.2442,129.2139,62.33,48,100,2.08,overcast clouds
171,San Lorenzo,PY,-25.3333,-57.5333,67.14,68,90,5.01,overcast clouds
172,Narsaq,GL,60.9167,-46.05,39.42,73,61,3.83,broken clouds
173,Krusevac,RS,43.58,21.3339,66.56,95,48,12.19,scattered clouds
174,Inhambane,MZ,-23.865,35.3833,64.24,77,1,1.36,clear sky
175,Dzaoudzi,YT,-12.7887,45.2699,76.89,78,0,9.22,clear sky
176,Atbasar,KZ,51.8,68.3333,73.8,30,14,5.1,few clouds
177,Flinders,AU,-34.5833,150.8552,64.38,63,27,7.0,scattered clouds
178,Vostok,RU,46.4856,135.8833,51.49,58,17,9.71,few clouds
179,Savelugu,GH,9.6244,-0.8253,86.97,50,71,9.01,broken clouds
180,Victoria,HK,22.2855,114.1577,86.05,88,69,1.01,broken clouds
181,Pacific Grove,US,36.6177,-121.9166,80.15,74,40,4.0,scattered clouds
182,Marzuq,YE,14.4,46.4667,77.2,54,25,4.27,scattered clouds
183,Pringsewu,ID,-5.3582,104.9744,76.19,93,86,1.07,overcast clouds
184,Tecoanapa,MX,16.5167,-98.75,86.43,56,88,10.63,overcast clouds
185,Sinnamary,GF,5.3833,-52.95,78.66,90,100,5.79,overcast clouds
186,Faanui,PF,-16.4833,-151.75,81.1,71,64,11.7,broken clouds
187,Okha,RU,53.5739,142.9478,38.35,79,100,8.68,overcast clouds
188,Sitka,US,57.0531,-135.33,49.89,76,75,9.22,light rain
189,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,71,75,17.34,broken clouds
190,Arlit,NE,18.7369,7.3853,88.36,4,0,12.15,clear sky
191,Mastacani,RO,45.7833,28.0333,57.67,68,21,7.31,few clouds
192,Luderitz,NA,-26.6481,15.1594,62.02,68,0,7.05,clear sky
193,Ust-Ilimsk,RU,58.0006,102.6619,40.37,59,15,4.36,few clouds
194,Thompson,CA,55.7435,-97.8558,28.56,80,90,19.57,overcast clouds
195,Ilhabela,BR,-23.7781,-45.3581,64.06,75,81,6.06,broken clouds
196,Sabang,ID,5.8933,95.3214,82.58,78,99,10.42,overcast clouds
197,Saint-Francois,FR,46.4154,3.9054,49.44,86,0,3.44,clear sky
198,Outlook,CA,51.5001,-107.0513,45.5,68,100,9.01,overcast clouds
199,Ifakara,TZ,-8.1333,36.6833,65.37,77,56,2.28,broken clouds
200,Chuy,UY,-33.6971,-53.4616,50.05,82,0,6.82,clear sky
201,Moree,AU,-29.4667,149.85,60.82,72,75,12.66,broken clouds
202,Qingyuan,CN,23.7,113.0333,81.91,84,58,4.74,broken clouds
203,Lompoc,US,34.6391,-120.4579,82.78,66,1,17.27,clear sky
204,Bontang,ID,0.1333,117.5,78.57,86,100,4.29,overcast clouds
205,Mokhsogollokh,RU,61.4681,128.9203,56.17,45,49,5.48,scattered clouds
206,Stornoway,GB,58.2093,-6.3865,52.93,81,90,12.66,overcast clouds
207,Uvalde,US,29.3669,-99.767,87.53,36,33,19.77,scattered clouds
208,Calama,CL,-22.4667,-68.9333,63.09,8,40,11.5,scattered clouds
209,Beringovskiy,RU,63.05,179.3167,32.74,99,100,6.58,overcast clouds
210,Ulaangom,MN,49.9811,92.0667,60.85,45,93,4.92,light rain
211,Banda Aceh,ID,5.5577,95.3222,80.38,81,97,5.86,overcast clouds
212,Kununurra,AU,-15.7667,128.7333,75.18,69,4,0.0,clear sky
213,Along,IN,28.1667,94.7667,73.02,95,92,1.07,overcast clouds
214,Canutama,BR,-6.5339,-64.3831,75.11,92,52,0.38,broken clouds
215,Margate,GB,51.3813,1.3862,49.71,76,73,1.99,broken clouds
216,Sangar,RU,63.9242,127.4739,57.22,53,87,2.57,overcast clouds
217,Ostrovnoy,RU,68.0531,39.5131,33.55,78,9,6.24,clear sky
218,Oistins,BB,13.0667,-59.5333,80.69,61,40,16.11,scattered clouds
219,Mitsamiouli,KM,-11.3847,43.2844,77.65,71,22,10.09,few clouds
220,Providencia,MX,28.7167,-111.5833,98.47,17,15,10.0,few clouds
221,Iquitos,PE,-3.7481,-73.2472,77.04,88,75,3.44,broken clouds
222,Fairview,US,40.8126,-73.999,78.62,65,1,8.05,clear sky
223,Kaitangata,NZ,-46.2817,169.8464,46.47,46,100,3.18,overcast clouds
224,Mount Isa,AU,-20.7333,139.5,69.57,52,70,11.5,broken clouds
225,Opuwo,NA,-18.0607,13.84,60.37,44,0,8.01,clear sky
226,Napasar,IN,27.9667,73.55,87.42,47,0,8.97,clear sky
227,Xuddur,SO,4.1213,43.8894,68.63,83,8,14.27,clear sky
228,Dorna,RO,47.35,25.4333,56.97,86,86,3.65,light rain
229,Thunder Bay,CA,48.4001,-89.3168,79.99,58,40,14.97,scattered clouds
